type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,sharan sharma,"janhvi kapoor, pankaj tripathi, angad bedi, viineet kumar, manav vij, ayesha raza mishra",india,2020,tv-14,113 min,"action & adventure, dramas, international movies",113.0,min
movie,rob minkoff,"ty burrell, max charles, ariel winter, stephen colbert, leslie mann, stanley tucci, allison janney, mel brooks, patrick warburton, stephen tobolowsky, lake bell",united states,2014,pg,93 min,"children & family movies, comedies, sci-fi & fantasy",93.0,min
movie,tyler spindel,rob schneider,united states,2020,tv-ma,44 min,stand-up comedy,44.0,min
tv show,unknown,"loretta devine, tia mowry-hardrict, anthony alabi, paul wight, allison munn, gabriel iglesias, sherri shepherd, paulina chávez, jencarlos canela",united states,2020,tv-g,1 Season,"kids' tv, tv comedies",1.0,season
tv show,unknown,"you, reina triendl, yoshimi tokui, azusa babazono, ryota yamasato, shono hayama",japan,2019,tv-ma,2 Seasons,"international tv shows, reality tv",2.0,season
movie,vicky wight,"leslie bibb, josh duhamel, nora dunn, sharon lawrence, callie hope haverda, roxton garcia",united states,2020,pg-13,110 min,"dramas, romantic movies",110.0,min
movie,kunle afolayan,"joke silva, omowunmi dada, bimbo akintola, femi adebayo, kayode olaiya, ali nuhu, yvonne jegede, toyin abraham, adebayo salami, ayo mogaji, magaji mijinyawa",unknown,2018,tv-14,113 min,"dramas, international movies",113.0,min
tv show,unknown,"caroline chikezie, bimbo manuel, lord frank, edmond enaibe, taiwo obileye, jude chukwuka, kunle coker, paul christian chukwudi, samuel abiola robinson, simi adejumo, ani iyoho",nigeria,2016,tv-14,1 Season,"international tv shows, tv dramas",1.0,season
movie,marc meyers,"alexandra daddario, amy forsyth, keean johnson, maddie hasson, logan miller, austin swift, johnny knoxville, allison mcatee, tanner beard","united states, canada, united kingdom",2020,r,90 min,"horror movies, thrillers",90.0,min
movie,franziska meyer price,"felicitas woll, janina uhse, jan sosniok, matthias klimsa, sandra borgmann, kai lentrodt, armin rohde, gitta schweighöfer, kailas mahadevan",germany,2020,tv-ma,82 min,"comedies, international movies",82.0,min
tv show,unknown,"ivana baquero, jon kortajarena, alejandra onieva, eloy azorín, chiqui fernández, tamar novas, daniel lundh, manuela vellés, natalia rodríguez, laura prats, ignacio montes, begoña vargas, luis bermejo, pepe ocio, ben temple, félix gómez, antonio durán 'morris', eduardo blanco, josé sacristán",spain,2020,tv-ma,3 Seasons,"crime tv shows, international tv shows, spanish-language tv shows",3.0,season
tv show,unknown,unknown,unknown,2020,tv-ma,3 Seasons,reality tv,3.0,season
tv show,unknown,palina rojinski,germany,2020,tv-pg,1 Season,"international tv shows, reality tv",1.0,season
movie,steven rinella,steven rinella,united states,2018,tv-14,69 min,documentaries,69.0,min
movie,richard weston,"kate mckinnon, matthew mucci, mikaela blake, gabby clarke, roman lutterotti, leke maceda-rustecki, birva pandya, lynsey pham, kaden stephen",united states,2020,tv-y,46 min,children & family movies,46.0,min
tv show,unknown,mike colter,united states,2020,tv-pg,1 Season,"docuseries, science & nature tv, tv action & adventure",1.0,season
tv show,unknown,"colin o'donoghue, david bradley, lena headey, emile hirsch, lexi medrano, steven yeun, alfred molina, james faulkner, stephanie beatriz, john rhys-davies",united states,2020,tv-y7,1 Season,"kids' tv, tv action & adventure, tv sci-fi & fantasy",1.0,season
tv show,unknown,unknown,united states,2020,tv-y,1 Season,kids' tv,1.0,season
movie,laura terruso,"sabrina carpenter, jordan fisher, liza koshy, keiynan lonsdale, michelle buteau, drew ray tanner",united states,2020,tv-14,94 min,comedies,94.0,min
tv show,unknown,"jonquil goode, karen strassman, audu paden, julie maddalena, marieve herington, rena strober, evan smith, wendee lee, haviland stillwell, valerie arem, cam clarke, colleen foy, cindy robinson, joe sanfelippo, jamieson price, debi derryberry, lindsey ames, rajo zakic, erin fitzgerald, malcolm danare",canada,2016,tv-y7,5 Seasons,kids' tv,5.0,season
movie,martín sastre,natalia oreiro,uruguay,2020,tv-pg,72 min,"documentaries, international movies, music & musicals",72.0,min
tv show,unknown,"alba august, lucas lynggaard tønnesen, mikkel boe følsgaard, lukas løkken, jessica dinnage, sonny lindberg, angela bundalovic, lars simonsen","denmark, united states",2020,tv-ma,3 Seasons,"international tv shows, tv dramas, tv mysteries",3.0,season
movie,franck nataf,nicolas anelka,france,2020,tv-14,95 min,"documentaries, international movies, sports movies",95.0,min
movie,pascal amanfo,"yvonne nelson, kunle remi, adjetey anang, oscar provencal, michelle mckinney hammond, rosaline meurer, kweku elliot, regina van helvert, alhaji fadika, isaac akwesi awonor",unknown,2019,tv-14,101 min,"international movies, thrillers",101.0,min
tv show,unknown,unknown,united states,2020,tv-14,1 Season,"crime tv shows, docuseries, international tv shows",1.0,season
movie,"stanley moore, alex woo","alan c. lim, smith foreman, abigail vibat, pfifer chastain, jim capobianco, neena-sinaii simpo, eli morse, adelaide hirasaki, paul killam, kerry gudjohnsen, maisie benson",unknown,2020,tv-y,21 min,children & family movies,21.0,min
movie,savage steve holland,"ricardo hurtado, breanna yde, jackie r. jacobson, abby donnelly, alkoya brunson, jeff meacham, ella gross, carlos sanson, jt neal, camaron engels, kirrilee berger",united states,2020,tv-g,71 min,"children & family movies, comedies",71.0,min
tv show,unknown,"felipe castanhari, lilian regina, bruno miranda, guilherme briggs",brazil,2020,tv-pg,1 Season,"docuseries, international tv shows, science & nature tv",1.0,season
movie,kristian mercado,sam jay,united states,2020,tv-ma,64 min,stand-up comedy,64.0,min
tv show,unknown,unknown,united states,2020,tv-ma,1 Season,docuseries,1.0,season
movie,mike doyle,"scott evans, augustus prew, kate walsh, michelle buteau, zoë chao, patricia clarkson, colin donnell, christopher gray",united states,2020,tv-ma,92 min,"comedies, dramas, independent movies",92.0,min
movie,darren grant,"ken jeong, david hasselhoff, jim jefferies, jon lovitz, rhys darby, dan bakkedahl, jennifer ikeda, will sasso, colton dunn",united states,2017,r,80 min,comedies,80.0,min
tv show,unknown,"brandy norwood, william allen young, sheryl lee ralph, countess vaughn, lamont bentley, shar jackson, marcus t. paulk, yvette wilson",united states,2000,tv-pg,6 Seasons,"tv comedies, teen tv shows",6.0,season
tv show,unknown,"morgan wigle, tom hulshof, helena marie, shawn thompson, natasha zaborski, ajanae stephenson, francesca van keekan, jordan clark",canada,2020,tv-g,1 Season,kids' tv,1.0,season
tv show,unknown,"natsuki hanae, kana hanazawa, ai kayano, ryota osaka, kaito ishikawa, mikako komatsu, kaori ishihara, kaori nazuka, masuo amada, junji majima, motomu kiyokawa, kohsuke toriumi",japan,2014,tv-14,1 Season,"anime series, romantic tv shows, teen tv shows",1.0,season
movie,mike gunther,"will yun lee, jermaine love, rory markham, bertrand-xavier corbi, katie keene, fernando chien, gina decesare, michael blalock, chris mulkey, stephen lang",united states,2020,r,104 min,action & adventure,104.0,min
movie,steve ball,"elyse maloway, vincent tong, erin mathews, andrea libman, alessandro juliani, nicole anthony, diana kaarina, gigi saul guerrero, asia mattu, rukiya bernard, elicia mackenzie, ian james corlett, britt mckillip",canada,2020,tv-y,25 min,children & family movies,25.0,min
tv show,unknown,"shamier anderson, victoria baldesarra, alexandra beaton, jordan clark, brennan clost, samantha grecchi, lamar johnson, isaac lupien, trevor tordjman, brittany raymond, bree wasylenko, jennifer pappas, tamina pollack-paris, logan fabbro, megan mackenzie, alex beaton, natalie krill",canada,2018,tv-g,1 Season,"kids' tv, reality tv, tv dramas",1.0,season
movie,joseph ruben,"michiel huisman, hera hilmar, josh hartnett, ben kingsley, haluk bilginer, affif ben badra, paul barrett, jessica turner","turkey, united states",2017,r,111 min,"dramas, romantic movies",111.0,min
tv show,unknown,"rie kugimiya, junji majima, yui horie, hirofumi nojima, eri kitamura, sayaka ohara, ai nonaka, momoko ishikawa, hiroyuki yoshino, kazuyuki okitsu, rie tanaka, yuhko kaida, saori goto",japan,2008,tv-14,1 Season,"anime series, international tv shows, romantic tv shows",1.0,season
tv show,unknown,"adam andrianopolous, pierce cravens, xander crowell, paul guyet, michael hansen, mason hensley, courtney shaw, alan trinca, keyon williams, andy zou",united states,2020,tv-y,2 Seasons,kids' tv,2.0,season
movie,mfanelo ngoma,tumi morake,unknown,2020,tv-ma,72 min,stand-up comedy,72.0,min
movie,colin minihan,"hannah emily anderson, brittany allen, martha macisaac, joey klein, charlotte lindsay marron",canada,2018,r,99 min,"lgbtq movies, thrillers",99.0,min
tv show,unknown,"kim adis, mia mckenna-bruce, bethany antonia, jessica alexander",united kingdom,2020,tv-pg,1 Season,"british tv shows, crime tv shows, international tv shows",1.0,season
movie,"regina welker, nina wels","ashley bornancin, carter hastings",germany,2020,tv-y,83 min,"children & family movies, comedies",83.0,min
movie,honey trehan,"nawazuddin siddiqui, radhika apte, khalid tyabji, aditya srivastava, padmavati rao, shivani raghuvanshi, nishant dahiya, shweta tripathi, gyanendra tripathi, shreedhar dubey, swanand kirkire, riya shukla, tigmanshu dhulia, ila arun, natasha rastogi",india,2020,tv-ma,150 min,"dramas, international movies, thrillers",150.0,min
movie,"katleho ramaphakela, rethabile ramaphakela","fulu mugovhani, tumi morake, bohang moeko, yonda thomas",south africa,2020,tv-ma,108 min,"comedies, international movies, romantic movies",108.0,min
movie,ariel boles,hunter march,united states,2020,tv-g,44 min,children & family movies,44.0,min
tv show,unknown,"candace nelson, adriano zumbo, hunter march",united states,2020,tv-pg,3 Seasons,reality tv,3.0,season
tv show,unknown,unknown,"united states, canada",2020,tv-14,2 Seasons,"tv action & adventure, tv mysteries, tv sci-fi & fantasy",2.0,season
movie,álvaro delgado-aparicio l.,"junior béjar roca, amiel cayo, magaly solier, hermelinda luján, mauro chuchón, claudia solís, coco chiarella","peru, germany, norway",2017,tv-ma,102 min,"dramas, international movies",102.0,min
tv show,unknown,"jake foushee, jason marnocha, linsay rousseau, joe zieja, frank todaro, bill rogers, keith silverstein, edward bosco",united states,2020,tv-y7,1 Season,anime series,1.0,season
movie,venkatesh maha,"satya dev, vk naresh, raghavan, suhas p, ravindra vijay, chandana koppisetti, roopa koduvayur, kushalini pulapa",india,2020,tv-ma,137 min,"comedies, dramas, independent movies",137.0,min
tv show,nopparoj chotmunkongsit,"anusorn maneethet, atsadaporn siriwattanakul, waratthaya wongchayaporn, thanawetch siriwattanakul, pokchat thiamchai, phichikorn ployphimana, supachai suwanon, daraneenuch pasutanavin, kittiphong dumavibhat, aphiradi phawaphutanon, attharut krongrasri, ronnawee sereerat, lita janvarapa, sitang punnapob, yani tramod",unknown,2020,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
movie,aniedi anwah,"bovi ugboma, amanda ebeye, shaffy bello, adunni ade, ini dima-okojie, 'najite dede, gregory ojefua, thelma ezeamaka, femi durojaiye, ese lami george, toni tones",nigeria,2016,tv-ma,112 min,"comedies, international movies, romantic movies",112.0,min
movie,mickey fonseca,"gil alexandre, arlete bombe, rashid abdul, laquino fonseca, tomas bie, candido quembo, jorge amade, aldovina chiziane",mozambique,2019,tv-ma,102 min,"dramas, international movies, thrillers",102.0,min
movie,matias mariani,"o.c. ukeje, indira nascimento, paulo andré, ike barry, chukwudi iwuji","brazil, france",2020,tv-ma,103 min,"dramas, independent movies, international movies",103.0,min
movie,jan komasa,"maciej musiałowski, agata kulesza, danuta stenka, vanessa aleksander, maciej stuhr, jacek koman, adam gradowski, piotr biedron, martynika kosnica",poland,2020,tv-ma,136 min,"dramas, international movies, thrillers",136.0,min
movie,sue kim,unknown,united states,2020,tv-pg,41 min,documentaries,41.0,min
movie,paul solet,unknown,united states,2019,tv-ma,88 min,documentaries,88.0,min
tv show,unknown,"john franklin iii, dj law, buddy stephens, brittany wagner, ronald ollie",united states,2020,tv-ma,5 Seasons,docuseries,5.0,season
movie,ben kasulke,"hannah marks, liana liberato, dylan sprouse, luke spencer roberts, jessica hecht, addison riecke, meagan kimberly smith, haley ramm",united states,2020,tv-ma,84 min,"comedies, dramas, independent movies",84.0,min
tv show,unknown,"william h. macy, emmy rossum, justin chatwin, cameron monaghan, jeremy allen white, shanola hampton, steve howey, ethan cutkosky, emma kenney, laura wiggins, joan cusack",united states,2019,tv-ma,10 Seasons,"tv comedies, tv dramas",10.0,season
movie,gagan puri,"dolly ahluwalia, manu rishi chadha, mahie gill, shardul rana, archita sharma, rajesh sharma, supriya shukla, mehak manwani",india,2020,tv-14,114 min,"comedies, international movies",114.0,min
movie,teddy chan,"henry lau, peter ho, lin chenhan, jiang luxia, ming hu, him law, shi shi, mark cheng, wang ziyi, xu minghu",china,2020,tv-14,110 min,"action & adventure, international movies",110.0,min
movie,bhavin wadia,"om puri, seema biswas, kunal sheth, rahul patel, katarina kajkus, farrah kader, govind namdeo, dalip tahil",india,2016,tv-ma,103 min,"dramas, independent movies, international movies",103.0,min
movie,"tony bancroft, scott christian sava","emily blunt, john krasinski, ian mckellen, danny devito, raven-symoné, patrick warburton, wallace shawn, gilbert gottfried, tara strong, harvey fierstein, james arnold taylor, kevin grevioux, sylvester stallone, lydia rose taylor","china, spain, south korea, united states",2020,tv-y7,106 min,"children & family movies, comedies",106.0,min
movie,"greg rankin, tj sullivan","noah kaye bentley, brennley brown, zach callison, nicolas cantu, skai jackson, marsai martin, andre robinson, carlos alazraqui, renée elise goldsberry",united states,2020,tv-y,46 min,"children & family movies, comedies",46.0,min
movie,tope alake,"odunlade adekola, chimezie imo, sani danja, rachael okonkwo, broda shaggi, toyin abraham, kelechi udegbe, doyin abiola, molawa davis",nigeria,2019,tv-ma,115 min,"dramas, international movies",115.0,min
movie,fernando gonzález molina,"marta etura, leonardo sbaraglia, carlos librado ""nene"", francesc orella, imanol arias, álvaro cervantes, itziar aizpuru, benn northover, marta larralde, alicia sánchez, eduardo rosa, angel alkain, ana wagener, paco tous, patricia lópez arnaiz, pedro casablanc","spain, germany",2020,tv-ma,140 min,"international movies, thrillers",140.0,min
movie,yuki tanada,"issey takahashi, yuu aoi, kenta hamano, toko miura, koji ohkura, pierre taki, eri watanabe, kitaro",japan,2020,tv-ma,124 min,"dramas, international movies, romantic movies",124.0,min
tv show,unknown,ricky merino,spain,2020,tv-g,1 Season,"international tv shows, reality tv, spanish-language tv shows",1.0,season
movie,vince marcello,"joey king, joel courtney, jacob elordi, molly ringwald, taylor zakhar perez, maisie richardson-sellers, meganne young","united kingdom, united states",2020,tv-14,133 min,"comedies, romantic movies",133.0,min
